property_value_range,num_restaurants,total_inspections,avg_score,critical_rate,grade_a_rate,score_volatility
$0-100K,1184,13676,26.92095642000585,0.5588622404211758,0.3204153261187482,20.671766779439707
$100K-500K,3451,38526,25.72037065877589,0.5635155479416498,0.32481960234646734,18.259209798228664
$500K-1M,2280,24652,25.826951160149278,0.5569122180756125,0.3417572610741522,19.45666137561859
$1M-5M,4457,47903,25.465190071603033,0.5657891990063253,0.33434231676512954,18.833345762835883
$5M+,2775,24002,22.639571702358136,0.5457461878176818,0.420631614032164,18.071624109820043
