inspection_year,inspection_month,num_inspections,avg_score,critical_rate,num_restaurants_inspected
2015,9,4,29.0,0.5,2
2015,10,3,4.0,0.0,2
2015,11,5,10.8,0.4,2
2015,12,4,21.0,0.5,1
2016,1,3,6.0,0.0,1
2016,2,4,19.0,0.5,1
2016,3,4,11.0,0.75,2
2016,4,5,4.8,0.6,4
2016,5,34,18.88235294117647,0.5,16
2016,6,35,10.885714285714286,0.4857142857142857,18
2016,7,1,10.0,1.0,1
2016,8,19,16.63157894736842,0.42105263157894735,6
2016,9,32,22.375,0.625,11
2016,10,28,14.035714285714286,0.6071428571428571,12
2016,11,21,9.523809523809524,0.42857142857142855,12
2016,12,26,12.076923076923077,0.5,14
2017,1,16,8.125,0.4375,12
2017,2,37,13.567567567567568,0.43243243243243246,19
2017,3,29,14.172413793103448,0.5172413793103449,16
2017,4,19,8.736842105263158,0.42105263157894735,10
2017,5,8,11.0,0.625,5
2017,6,39,13.128205128205128,0.5384615384615384,17
2017,7,45,18.755555555555556,0.6222222222222222,17
2017,8,66,13.5,0.45454545454545453,29
2017,9,65,12.753846153846155,0.6,28
2017,10,35,21.085714285714285,0.6,13
2017,11,34,18.058823529411764,0.47058823529411764,10
2017,12,24,12.625,0.5,11
2018,1,34,18.5,0.5294117647058824,14
2018,2,36,15.222222222222221,0.5277777777777778,15
2018,3,54,13.61111111111111,0.5370370370370371,25
2018,4,31,15.32258064516129,0.5161290322580645,13
2018,5,70,22.485714285714284,0.5,34
2018,6,128,19.390625,0.59375,48
2018,7,24,22.583333333333332,0.5833333333333334,6
2018,8,42,15.904761904761905,0.5952380952380952,16
2018,9,38,14.947368421052632,0.5526315789473685,17
2018,10,54,14.11111111111111,0.5370370370370371,22
2018,11,42,11.69047619047619,0.4523809523809524,24
2018,12,20,15.5,0.55,7
2019,1,25,24.52,0.64,6
2019,2,41,20.073170731707318,0.6097560975609756,15
2019,3,89,22.348314606741575,0.5842696629213483,35
2019,4,38,23.973684210526315,0.5526315789473685,15
2019,5,109,23.18348623853211,0.5137614678899083,42
2019,6,196,16.535714285714285,0.5408163265306123,78
2019,7,37,16.945945945945947,0.5135135135135135,12
2019,8,66,19.545454545454547,0.4696969696969697,20
2019,9,57,20.87719298245614,0.43859649122807015,24
2019,10,67,32.37313432835821,0.6417910447761194,17
2019,11,34,18.176470588235293,0.5,14
2019,12,38,11.710526315789474,0.34210526315789475,19
2020,1,79,27.658227848101266,0.5822784810126582,21
2020,2,190,25.121052631578948,0.5368421052631579,60
2020,3,58,15.482758620689655,0.5517241379310345,21
2020,12,1,0.0,0.0,1
2021,7,290,14.831034482758621,0.593103448275862,110
2021,8,712,18.82443820224719,0.5800561797752809,247
2021,9,377,22.50663129973475,0.6153846153846154,110
2021,10,259,24.57915057915058,0.5984555984555985,73
2021,11,501,22.652694610778443,0.530938123752495,151
2021,12,636,19.7374213836478,0.5581761006289309,192
2022,1,1797,20.0740122426266,0.563717306622148,561
2022,2,1837,17.24714207947741,0.5514425694066413,641
2022,3,3107,18.99549404570325,0.5532668168651432,1033
2022,4,3395,20.2379970544919,0.572901325478645,1054
2022,5,3594,19.632999443516972,0.5664997217584864,1080
2022,6,3346,20.576210400478182,0.5791990436341901,912
2022,7,3517,20.00056866647711,0.5905601364799545,978
2022,8,4309,20.29310744952425,0.586446971455094,1179
2022,9,4187,19.349892524480534,0.5987580606639599,1209
2022,10,4862,23.027560674619497,0.5818593171534348,1463
2022,11,5330,22.493245778611634,0.5814258911819887,1572
2022,12,5202,23.096885813148788,0.5803537101114956,1529
2023,1,6308,23.53741280913126,0.567850348763475,1807
2023,2,6102,23.198131760078663,0.5694854146181579,1707
2023,3,7173,22.327478042659976,0.5526279102188764,2207
2023,4,6787,22.501399734787093,0.552084868130249,2150
2023,5,7090,22.573624823695347,0.555148095909732,2227
2023,6,5315,22.97271872060207,0.5493885230479775,1673
2023,7,3517,29.44327551890816,0.5885698038100654,908
2023,8,4584,27.94175392670157,0.5743891797556719,1235
2023,9,3529,26.118730518560497,0.5658826863134032,1014
2023,10,4733,24.45510247200507,0.5520811324741179,1414
2023,11,4156,24.26948989412897,0.5635226179018287,1259
2023,12,4772,25.339061190276613,0.5530176026823135,1398
2024,1,5505,25.345140781108082,0.5449591280653951,1588
2024,2,4788,24.20050125313283,0.545530492898914,1421
2024,3,6432,23.673351990049753,0.5542599502487562,1992
2024,4,6537,24.440722043750956,0.5562184488297384,2004
2024,5,7742,25.065228623094807,0.5541203823301473,2296
2024,6,7136,26.102438340807176,0.5596973094170403,2049
2024,7,7021,27.93576413616294,0.5594644637516023,1932
2024,8,6884,28.575973271353863,0.5560720511330621,1885
2024,9,7102,27.594762038862292,0.5498451140523796,2047
2024,10,9216,25.96039496527778,0.5540364583333334,2691
2024,11,6716,25.13847528290649,0.5559857057772484,1898
2024,12,7568,25.260967230443974,0.5512684989429175,2182
2025,1,7419,24.348294918452623,0.546569618546974,2150
2025,2,5958,23.80597515944948,0.5365894595501847,1846
2025,3,7270,29.423521320495187,0.5657496561210454,1891
2025,4,7827,28.34968698096333,0.5708445125846429,2110
2025,5,7290,25.92482853223594,0.5481481481481482,2118
2025,6,6449,28.197394944952705,0.5456659947278648,1739
2025,7,8318,29.556624188506852,0.5631161336859822,2214
2025,8,7930,29.535182849936948,0.5543505674653215,2050
2025,9,7785,28.59203596660244,0.552344251766217,2108
2025,10,8524,29.08704833411544,0.5571328015016425,2308
2025,11,4659,26.20197467267654,0.544966731058167,1292
