borough,num_restaurants,total_inspections,avg_score,median_score,critical_violation_rate,grade_a_pct,grade_b_pct,grade_c_pct,restaurants_with_critical_violations
Staten Island,976,9644,22.159166321028618,19.0,0.5695769390294484,0.3755703027789299,0.06781418498548321,0.029966818747407715,948
Queens,6086,68130,26.630368413327464,23.0,0.5666373110230442,0.3236459709379128,0.07203874944958168,0.05596653456627036,5893
Brooklyn,6804,71206,25.613080358396765,21.0,0.5606128697019914,0.3476252001235851,0.0647136477263152,0.045684352442209926,6553
Manhattan,10393,101274,24.24781286411122,20.0,0.5547722021446768,0.36927543100894605,0.059561190433872466,0.04501648991843909,9944
Bronx,2336,25489,23.62454392090706,20.0,0.5519243595276394,0.3501118129389148,0.08109380517085801,0.04558829298913257,2245
